"Total seconds","Self seconds","File size","File path"
0.328125,0.125000,91603,"/usr/include/c++/7/type_traits"
0.171875,0.140625,57957,"/usr/include/x86_64-linux-gnu/c++/7/bits/c++config.h"
0.093750,0.015625,2167,"/usr/include/c++/7/cstdint"
0.031250,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/7/bits/os_defines.h"
0.031250,0.000000,12985,"/usr/include/features.h"
0.015625,0.015625,9457,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint-gcc.h"
0.015625,0.015625,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.015625,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/7/include/stdint.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/7/bits/cpu_defines.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
