"Total seconds","Self seconds","File size","File path"
0.125000,0.000000,2157,"/usr/include/c++/5/cinttypes"
0.093750,0.015625,2167,"/usr/include/c++/5/cstdint"
0.078125,0.031250,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.046875,0.031250,12985,"/usr/include/features.h"
0.046875,0.015625,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.031250,0.015625,11892,"/usr/include/inttypes.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint.h"
0.000000,0.000000,7029,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint-gcc.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
