"Total seconds","Self seconds","File size","File path"
1.343750,0.031250,2665,"/usr/include/c++/5/deque"
0.843750,0.046875,50910,"/usr/include/c++/5/bits/stl_algobase.h"
0.468750,0.421875,51064,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++config.h"
0.453125,0.390625,68840,"/usr/include/c++/5/type_traits"
0.281250,0.062500,6077,"/usr/include/c++/5/bits/move.h"
0.281250,0.000000,9865,"/usr/include/c++/5/bits/stl_pair.h"
0.250000,0.000000,6469,"/usr/include/c++/5/bits/allocator.h"
0.171875,0.015625,4436,"/usr/include/c++/5/ext/new_allocator.h"
0.171875,0.000000,1849,"/usr/include/x86_64-linux-gnu/c++/5/bits/c++allocator.h"
0.125000,0.046875,8624,"/usr/include/c++/5/bits/stl_iterator_base_types.h"
0.125000,0.031250,38065,"/usr/include/c++/5/bits/stl_iterator.h"
0.109375,0.062500,77790,"/usr/include/c++/5/bits/stl_deque.h"
0.078125,0.031250,10278,"/usr/include/c++/5/bits/cpp_type_traits.h"
0.062500,0.015625,5170,"/usr/include/c++/5/bits/stl_construct.h"
0.062500,0.000000,4678,"/usr/include/c++/5/new"
0.062500,0.000000,5139,"/usr/include/c++/5/bits/ptr_traits.h"
0.046875,0.015625,12985,"/usr/include/features.h"
0.046875,0.015625,5880,"/usr/include/c++/5/ext/type_traits.h"
0.046875,0.015625,3254,"/usr/include/c++/5/bits/functexcept.h"
0.046875,0.000000,1783,"/usr/include/x86_64-linux-gnu/c++/5/bits/os_defines.h"
0.031250,0.031250,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.031250,0.031250,4575,"/usr/include/c++/5/ext/numeric_traits.h"
0.031250,0.031250,33680,"/usr/include/c++/5/bits/deque.tcc"
0.031250,0.015625,2167,"/usr/include/c++/5/cstdint"
0.031250,0.015625,20535,"/usr/include/c++/5/bits/alloc_traits.h"
0.031250,0.000000,2974,"/usr/include/c++/5/initializer_list"
0.031250,0.000000,7132,"/usr/include/c++/5/ext/alloc_traits.h"
0.031250,0.000000,5322,"/usr/include/c++/5/exception"
0.031250,0.000000,3340,"/usr/include/c++/5/bits/concept_check.h"
0.015625,0.015625,21883,"/usr/include/c++/5/bits/stl_uninitialized.h"
0.015625,0.000000,2419,"/usr/include/c++/5/bits/memoryfwd.h"
0.000000,0.000000,328,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint.h"
0.000000,0.000000,7029,"/usr/lib/gcc/x86_64-linux-gnu/5/include/stdint-gcc.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/5/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000000,0.000000,2153,"/usr/include/stdc-predef.h"
0.000000,0.000000,5354,"/usr/include/c++/5/debug/debug.h"
0.000000,0.000000,6961,"/usr/include/c++/5/bits/stl_iterator_base_funcs.h"
0.000000,0.000000,7282,"/usr/include/c++/5/bits/range_access.h"
0.000000,0.000000,7939,"/usr/include/c++/5/bits/predefined_ops.h"
0.000000,0.000000,1645,"/usr/include/c++/5/bits/exception_defines.h"
0.000000,0.000000,2253,"/usr/include/c++/5/bits/atomic_lockfree_defines.h"
