"Total seconds","Self seconds","File size","File path"
0.093750,0.000000,1648,"/usr/include/c++/6/cassert"
0.078125,0.046875,55897,"/usr/include/x86_64-linux-gnu/c++/6/bits/c++config.h"
0.046875,0.015625,12985,"/usr/include/features.h"
0.031250,0.000000,2007,"/usr/include/x86_64-linux-gnu/c++/6/bits/os_defines.h"
0.015625,0.015625,14503,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.015625,0.015625,2153,"/usr/include/stdc-predef.h"
0.015625,0.000000,3652,"/usr/include/assert.h"
0.000000,0.000000,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000000,0.000000,1333,"/usr/include/x86_64-linux-gnu/c++/6/bits/cpu_defines.h"
0.000000,0.000000,327,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
